degree,section,course_code,course_name
Bachelor of Accounting,Standard study plans,ACCT3006,UO Sustainability Accounting and Reporting
Bachelor of Accounting,Standard study plans,LAWS3007,UO Taxation Law 1
Bachelor of Accounting,Standard study plans,BUSI3034,UO Strategic Financial Analysis
Bachelor of Accounting,Standard study plans,-,Elective
Bachelor of Accounting,Standard study plans,-,Elective
Bachelor of Accounting,Standard study plans,-,Elective
Bachelor of Accounting,Program electives,SOCI3014,UO Critical Approaches to Online Learning
Bachelor of Accounting,Program electives,AUXX1011,Elective 1
Bachelor of Accounting,Program electives,AUXX1012,Elective 2
Bachelor of Accounting,Program electives,AUXX1013,Elective 3
Bachelor of Accounting,Program electives,AUXX1014,Elective 4
Bachelor of Accounting,Program electives,AUXX1015,Elective 5
Bachelor of Accounting,Program electives - Business,ECON1010,UO Principles of Economics
Bachelor of Accounting,Program electives - Business,ECON1011,UO Macroeconomics
Bachelor of Accounting,Program electives - Business,ECON2007,UO Economic Analysis of Business Decisions
Bachelor of Accounting,Program electives - Business,ECON2008,UO Empirical Business Analysis
Bachelor of Accounting,Program electives - Business,ECON2009,UO Growth Development and the Macroeconomy
Bachelor of Accounting,Program electives - Business,ECON3007,UO Economics of Public Policy
Bachelor of Accounting,Program electives - Business,ECON3008,UO International Economics
Bachelor of Accounting,Program electives - Business,HOSP1003,UO Fundamentals of Global Tourism & Hospitality
Bachelor of Accounting,Program electives - Business,HOSP2006,UO Eventful Cities and Event Leveraging
Bachelor of Accounting,Program electives - Business,HOSP2007,"UO Experiential Product Design for Tourism, Events and Hospitality"
Bachelor of Accounting,Program electives - Business,HOSP2008,UO Foundations of Event Management
Bachelor of Accounting,Program electives - Business,HOSP2009,UO Managing Hospitality Operations
Bachelor of Accounting,Program electives - Business,HOSP3006,"UO Digital Technologies in Tourism, Events and Hospitality"
Bachelor of Accounting,Program electives - Business,HOSP3007,UO Sustainable Tourism Destination Management
Bachelor of Accounting,Program electives - Business,HOSP3008,"UO Tourism, Events and Hospitality Industry Research Project"
Bachelor of Accounting,Program electives - Business,MARK1011,UO Consumer Behaviour
Bachelor of Accounting,Program electives - Business,MARK1012,UO Professional Development in Marketing
Bachelor of Accounting,Program electives - Business,MARK1013,UO Marketing Principles: Trading and Exchange
Bachelor of Accounting,Program electives - Business,MARK1014,UO Public Relations: Theory and Practice
Bachelor of Accounting,Program electives - Business,MARK2008,UO Advertising
Bachelor of Accounting,Program electives - Business,MARK2009,UO Marketing Analytics
Bachelor of Accounting,Program electives - Business,MARK2010,UO Market Research
Bachelor of Accounting,Program electives - Business,MARK2011,UO Retailing
Bachelor of Accounting,Program electives - Business,MARK2012,UO Marketing for Health and Wellbeing
Bachelor of Accounting,Program electives - Business,MARK3010,UO Branding
Bachelor of Accounting,Program electives - Business,MARK3011,UO Essentials of Marketing Planning
Bachelor of Accounting,Program electives - Business,MARK3012,UO Integrated Marketing
Bachelor of Accounting,Program electives - Business,MARK3013,UO Digital Marketing
