degree_a,degree_b,shared_count,shared_courses
Bachelor of Business majoring in Project Management,Bachelor of Commerce majoring in Financial Planning,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Digital Business,Bachelor of Commerce majoring in Property,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Digital Business,Bachelor of Commerce majoring in Financial Planning,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Digital Business,Bachelor of Commerce majoring in Business Analytics,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Digital Business,Bachelor of Commerce majoring in Banking and Finance,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Digital Business,Bachelor of Commerce majoring in Accounting,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Commerce majoring in Accounting,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Commerce majoring in Banking and Finance,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Commerce majoring in Business Analytics,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Commerce majoring in Financial Planning,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Commerce majoring in Property,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Project Management,Bachelor of Commerce majoring in Business Analytics,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Project Management,Bachelor of Commerce majoring in Banking and Finance,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Project Management,Bachelor of Commerce majoring in Accounting,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in International Business,Bachelor of Commerce majoring in Accounting,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in International Business,Bachelor of Commerce majoring in Banking and Finance,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Marketing and Design,Bachelor of Commerce majoring in Banking and Finance,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in International Business,Bachelor of Commerce majoring in Financial Planning,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Marketing and Design,Bachelor of Commerce majoring in Accounting,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Economics majoring in Advanced Analysis,"Bachelor of Philosophy, Politics and Economics",3,"ECON1000, ECON1012, ECON2000"
Bachelor of Economics (Honours),"Bachelor of Philosophy, Politics and Economics",3,"ECON1000, ECON1012, ECON2000"
Bachelor of Economics,"Bachelor of Philosophy, Politics and Economics",3,"ECON1000, ECON1012, ECON2000"
Bachelor of Commerce majoring in Banking and Finance,Bachelor of Economics,2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Banking and Finance,Bachelor of Economics (Honours),2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Property,"Bachelor of Philosophy, Politics and Economics",2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Property,Bachelor of Economics majoring in Advanced Analysis,2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Property,Bachelor of Economics (Honours),2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Property,Bachelor of Economics,2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Financial Planning,"Bachelor of Philosophy, Politics and Economics",2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Financial Planning,Bachelor of Economics majoring in Advanced Analysis,2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Financial Planning,Bachelor of Economics (Honours),2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Accounting,Bachelor of Economics,2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Financial Planning,Bachelor of Economics,2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Business Analytics,"Bachelor of Philosophy, Politics and Economics",2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Business Analytics,Bachelor of Economics majoring in Advanced Analysis,2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Business Analytics,Bachelor of Economics (Honours),2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Business Analytics,Bachelor of Economics,2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Accounting,Bachelor of Economics (Honours),2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Accounting,Bachelor of Economics majoring in Advanced Analysis,2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Accounting,"Bachelor of Philosophy, Politics and Economics",2,"ECON1000, ECON1012"
