degree,section,stream,course_code,course_name
Bachelor of Accounting,Electives,Program electives - Business,HOSP2006,UO Eventful Cities and Event Leveraging
Bachelor of Accounting,Electives,Program electives - Business,HOSP2007,"UO Experiential Product Design for Tourism, Events and Hospitality"
Bachelor of Accounting,Electives,Program electives - Business,HOSP2008,UO Foundations of Event Management
Bachelor of Accounting,Electives,Program electives - Business,HOSP2009,UO Managing Hospitality Operations
Bachelor of Accounting,Electives,Program electives - Business,HOSP3006,"UO Digital Technologies in Tourism, Events and Hospitality"
Bachelor of Accounting,Electives,Program electives - Business,HOSP3007,UO Sustainable Tourism Destination Management
Bachelor of Accounting,Electives,Program electives - Business,HOSP3008,"UO Tourism, Events and Hospitality Industry Research Project"
Bachelor of Accounting,Electives,Program electives - Business,MARK1011,UO Consumer Behaviour
Bachelor of Accounting,Electives,Program electives - Business,MARK1012,UO Professional Development in Marketing
Bachelor of Accounting,Electives,Program electives - Business,MARK1013,UO Marketing Principles: Trading and Exchange
Bachelor of Accounting,Electives,Program electives - Business,MARK1014,UO Public Relations: Theory and Practice
Bachelor of Accounting,Electives,Program electives - Business,MARK2008,UO Advertising
Bachelor of Accounting,Electives,Program electives - Business,MARK2009,UO Marketing Analytics
Bachelor of Accounting,Electives,Program electives - Business,MARK2010,UO Market Research
Bachelor of Accounting,Electives,Program electives - Business,MARK2011,UO Retailing
Bachelor of Accounting,Electives,Program electives - Business,MARK2012,UO Marketing for Health and Wellbeing
Bachelor of Accounting,Electives,Program electives - Business,MARK3010,UO Branding
Bachelor of Accounting,Electives,Program electives - Business,MARK3011,UO Essentials of Marketing Planning
Bachelor of Accounting,Electives,Program electives - Business,MARK3012,UO Integrated Marketing
Bachelor of Accounting,Electives,Program electives - Business,MARK3013,UO Digital Marketing
Bachelor of Accounting,Electives,Program electives - Business,ACCT1005,UO Accounting for Business
Bachelor of Accounting,Electives,Program electives - Business,ACCT1006,UO Financial Accounting 1
Bachelor of Accounting,Electives,Program electives - Business,ACCT2003,UO Financial Accounting 2
Bachelor of Accounting,Electives,Program electives - Business,ACCT2004,UO Management Accounting
Bachelor of Accounting,Electives,Program electives - Business,ACCT3003,UO Auditing Theory and Practice
Bachelor of Accounting,Electives,Program electives - Business,ACCT3004,UO Contemporary Issues in Accounting
Bachelor of Accounting,Electives,Program electives - Business,ACCT3005,UO Financial Accounting 3
Bachelor of Accounting,Electives,Program electives - Business,ACCT3006,UO Sustainability Accounting and Reporting
