degree_name,course_code,course_name,stream_clean
Bachelor of Business (Management),BUSI3032,UO Organisational Leadership,Core Selectives
Bachelor of Business (Management),BUSI3033,UO Strategic Management,Core Selectives
Bachelor of Business (Management),BUSI3035,UO Organisational Entrepreneurship,Core Selectives
Bachelor of Business (Management),COMM2002,UO Communication and Organisational Practices,Core Selectives
Bachelor of Business (Management),ECON1010,UO Principles of Economics,Core Selectives
Bachelor of Business (Management),HRES2012,UO Foundations of Human Resource Management,Core Selectives
Bachelor of Business (Management),IBUS3008,UO International Business Environments,Core Selectives
Bachelor of Business (Management),INFO2022,UO Business Intelligence,Core Selectives
Bachelor of Business (Management),LAWS1018,UO Business Law,Core Selectives
Bachelor of Business (Management),MARK1013,UO Marketing Principles: Trading and Exchange,Core Selectives
Bachelor of Business majoring in Digital Business,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Business majoring in Digital Business,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Business majoring in Digital Business,BUSI2001,"Emerging Technologies, Data and Business Analytics",Program Core
Bachelor of Business majoring in Digital Business,MARK1000,Marketing Principles,Program Core
Bachelor of Business majoring in Digital Business,BUSI1001,Business Law,Program Core
Bachelor of Business majoring in Digital Business,BUSI2002,"Negotiation, Conflict Management and Resolution",Program Core
Bachelor of Business majoring in Digital Business,BUSI3013,Strategic Management,Program Core
Bachelor of Business majoring in Digital Business,ECON1000,Principles of Economics,Program Core
Bachelor of Business majoring in Digital Business,MDIA2021,Research Methods in Media and Communication,Program Core
Bachelor of Business majoring in Digital Business,MDIA2022,"Media Law, Policy and Ethics",Program Core
Bachelor of Business majoring in Digital Business,MDIA2102,Promotional Culture,Program Core
Bachelor of Business majoring in Digital Business,MDIA3017,Strategic Planning for Media and Communication,Program Core
Bachelor of Business majoring in Digital Business,GRAP1004,Digital Design Principles and Methods,Program Core
Bachelor of Business majoring in Digital Business,PROJ1000,Foundations of Project Management,Program Core
Bachelor of Business majoring in Digital Business,PROJ1001,Scheduling and Cost Management,Program Core
Bachelor of Business majoring in Digital Business,PROJ3006,Project Logistics and Supply Chains,Program Core
Bachelor of Business majoring in Human Resource Management,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Business majoring in Human Resource Management,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Business majoring in Human Resource Management,BUSI2001,"Emerging Technologies, Data and Business Analytics",Program Core
Bachelor of Business majoring in Human Resource Management,MARK1000,Marketing Principles,Program Core
Bachelor of Business majoring in Human Resource Management,BUSI1001,Business Law,Program Core
